province,sex,age_group,education,religion,household_size,marital,feeling_lifes,weight,weight_bs
Alberta,1,"[18,23]",Bachelor's degree,Not important at all,1,Never Married,Very satisfied,1171,1058
Alberta,1,"[18,23]",High school diploma or certificate,Not important at all,1,Never Married,Fairly satisfied,1767,0
Alberta,1,"[18,23]",High school diploma or certificate,Not important at all,1,Never Married,Very satisfied,928,0
Alberta,1,"[18,23]",High school diploma or certificate,Not important at all,3,Never Married,Fairly satisfied,7806,0
Alberta,1,"[18,23]",High school diploma or certificate,Not important at all,3,Never Married,Very satisfied,12858,17744
Alberta,1,"[18,23]",High school diploma or certificate,Not important at all,4,Never Married,Fairly satisfied,5534,13845
Alberta,1,"[18,23]",High school diploma or certificate,Not important at all,4,Never Married,Very satisfied,6340,8190
Alberta,1,"[18,23]",High school diploma or certificate,Not important at all,5,Never Married,Not very satisfied,6147,6026
Alberta,1,"[18,23]",High school diploma or certificate,Not very important,2,Married,Very satisfied,4419,6956
Alberta,1,"[18,23]",High school diploma or certificate,Not very important,2,Never Married,Not at all satisfied,2850,2514
Alberta,1,"[18,23]",High school diploma or certificate,Not very important,2,Never Married,Not very satisfied,3693,7330
Alberta,1,"[18,23]",High school diploma or certificate,Not very important,3,Never Married,Very satisfied,2588,1834
Alberta,1,"[18,23]",High school diploma or certificate,Not very important,4,Never Married,Fairly satisfied,18485,22797
Alberta,1,"[18,23]",High school diploma or certificate,Not very important,4,Never Married,Very satisfied,3685,3662
Alberta,1,"[18,23]",High school diploma or certificate,Not very important,5,Never Married,Very satisfied,5046,3216
Alberta,1,"[18,23]",High school diploma or certificate,Somewhat important,1,Never Married,Fairly satisfied,1119,3854
Alberta,1,"[18,23]",High school diploma or certificate,Somewhat important,3,Never Married,Fairly satisfied,7286,5633
Alberta,1,"[18,23]",High school diploma or certificate,Somewhat important,3,Never Married,Very satisfied,5298,0
Alberta,1,"[18,23]",High school diploma or certificate,Somewhat important,4,Never Married,Fairly satisfied,6443,10038
Alberta,1,"[18,23]",High school diploma or certificate,Somewhat important,4,Never Married,Very satisfied,17664,7666
Alberta,1,"[18,23]",High school diploma or certificate,Somewhat important,6,Never Married,Fairly satisfied,2223,0
Alberta,1,"[18,23]",High school diploma or certificate,Very important,4,Never Married,Very satisfied,9005,11243
Alberta,1,"[18,23]",High school diploma or certificate,Very important,5,Never Married,Very satisfied,4250,0
Alberta,1,"[18,23]",Less than high school diploma,Don't know/ Prefer not to answer,6,Never Married,Very satisfied,5596,3883
Alberta,1,"[18,23]",Less than high school diploma,Not important at all,4,Never Married,Not very satisfied,1608,1451
Alberta,1,"[18,23]",Less than high school diploma,Not very important,4,Never Married,Very satisfied,7745,13602
Alberta,1,"[18,23]",Less than high school diploma,Not very important,6,Never Married,Very satisfied,3726,4448
Alberta,1,"[18,23]",Less than high school diploma,Very important,2,Never Married,Fairly satisfied,3575,3222
Alberta,1,"[18,23]",University certificate or diploma below the bachelor's level,Don't know/ Prefer not to answer,1,Never Married,Very satisfied,1958,1732
Alberta,1,"[18,23]",University certificate or diploma below the bachelor's level,Not important at all,3,Never Married,Fairly satisfied,4113,6943
Alberta,1,"[18,23]",University certificate or diploma below the bachelor's level,Very important,4,Never Married,Very satisfied,1039,748
Alberta,1,"[18,23]","University certificate, diploma or degree above",Don't know/ Prefer not to answer,2,Never Married,Very satisfied,2872,1821
Alberta,1,"(23,28]",Bachelor's degree,Not important at all,1,Never Married,Fairly satisfied,1225,2980
Alberta,1,"(23,28]",Bachelor's degree,Not important at all,2,Living with a partner,Very satisfied,3821,2652
Alberta,1,"(23,28]",Bachelor's degree,Not important at all,3,Never Married,Very satisfied,5483,6563
Alberta,1,"(23,28]",Bachelor's degree,Not very important,1,Never Married,Very satisfied,3264,1702
Alberta,1,"(23,28]",Bachelor's degree,Not very important,2,Living with a partner,Very satisfied,2311,4994
Alberta,1,"(23,28]",Bachelor's degree,Not very important,2,Never Married,Very satisfied,2973,0
Alberta,1,"(23,28]",Bachelor's degree,Not very important,3,Never Married,Not at all satisfied,1197,1322
Alberta,1,"(23,28]",Bachelor's degree,Not very important,3,Never Married,Very satisfied,5510,0
Alberta,1,"(23,28]",Bachelor's degree,Somewhat important,1,Never Married,Fairly satisfied,1869,0
Alberta,1,"(23,28]",Bachelor's degree,Somewhat important,1,Never Married,Very satisfied,1420,0
Alberta,1,"(23,28]",Bachelor's degree,Somewhat important,2,Never Married,Very satisfied,8216,0
Alberta,1,"(23,28]",Bachelor's degree,Somewhat important,4,Never Married,Very satisfied,10719,8572
Alberta,1,"(23,28]",Bachelor's degree,Very important,1,Never Married,Fairly satisfied,1495,1709
Alberta,1,"(23,28]",Bachelor's degree,Very important,2,Never Married,Very satisfied,2332,4179
Alberta,1,"(23,28]",Bachelor's degree,Very important,3,Never Married,Fairly satisfied,5871,7391
Alberta,1,"(23,28]",Bachelor's degree,Very important,6,Never Married,Very satisfied,5215,7057
Alberta,1,"(23,28]",High school diploma or certificate,Don't know/ Prefer not to answer,1,Separated,Fairly satisfied,144,146
Alberta,1,"(23,28]",High school diploma or certificate,Not important at all,1,Never Married,Very satisfied,4169,2312
Alberta,1,"(23,28]",High school diploma or certificate,Not important at all,3,Married,Very satisfied,2964,3049
Alberta,1,"(23,28]",High school diploma or certificate,Not important at all,5,Living with a partner,Fairly satisfied,3541,0
Alberta,1,"(23,28]",High school diploma or certificate,Not important at all,5,Never Married,Fairly satisfied,4353,0
Alberta,1,"(23,28]",High school diploma or certificate,Not very important,1,Never Married,Fairly satisfied,1420,0
Alberta,1,"(23,28]",High school diploma or certificate,Not very important,1,Never Married,Very satisfied,1171,1058
Alberta,1,"(23,28]",High school diploma or certificate,Not very important,2,Never Married,Fairly satisfied,7224,0
Alberta,1,"(23,28]",High school diploma or certificate,Not very important,3,Married,Fairly satisfied,3847,4349
Alberta,1,"(23,28]",High school diploma or certificate,Not very important,3,Never Married,Fairly satisfied,4628,12463
Alberta,1,"(23,28]",High school diploma or certificate,Somewhat important,1,Never Married,Fairly satisfied,831,1086
Alberta,1,"(23,28]",High school diploma or certificate,Somewhat important,2,Never Married,Fairly satisfied,2734,10999
Alberta,1,"(23,28]",High school diploma or certificate,Somewhat important,3,Never Married,Fairly satisfied,2873,3085
Alberta,1,"(23,28]",High school diploma or certificate,Very important,1,Never Married,Very satisfied,1419,1702
Alberta,1,"(23,28]",High school diploma or certificate,Very important,2,Never Married,Very satisfied,4896,4965
Alberta,1,"(23,28]",High school diploma or certificate,Very important,4,Married,Very satisfied,1238,2612
Alberta,1,"(23,28]",Less than high school diploma,Somewhat important,1,Never Married,Very satisfied,2235,4391
Alberta,1,"(23,28]",Less than high school diploma,Somewhat important,3,Never Married,Fairly satisfied,4228,5348
Alberta,1,"(23,28]",Not stated,Not important at all,5,Living with a partner,Very satisfied,2660,0
Alberta,1,"(23,28]",Not stated,Somewhat important,2,Widowed,Fairly satisfied,2784,2910
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Not important at all,1,Never Married,Fairly satisfied,1311,3356
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Not important at all,1,Never Married,Very satisfied,1225,1490
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Not important at all,2,Living with a partner,Very satisfied,4004,0
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Not important at all,2,Never Married,Fairly satisfied,3180,7991
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Not important at all,2,Never Married,Very satisfied,4004,6579
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Not important at all,3,Married,Very satisfied,4251,0
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Not important at all,3,Never Married,Fairly satisfied,3367,0
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Not very important,3,Married,Very satisfied,6718,15692
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Not very important,5,Never Married,Very satisfied,8545,0
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Somewhat important,1,Never Married,Fairly satisfied,544,0
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Somewhat important,1,Never Married,Not very satisfied,809,859
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Somewhat important,1,Never Married,Very satisfied,1125,1393
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Somewhat important,3,Never Married,Very satisfied,7473,10235
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Somewhat important,4,Never Married,Very satisfied,5388,6510
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Very important,2,Married,Very satisfied,4051,4197
Alberta,1,"(23,28]",University certificate or diploma below the bachelor's level,Very important,3,Married,Very satisfied,2797,3169
Alberta,1,"(23,28]","University certificate, diploma or degree above",Not important at all,1,Married,Very satisfied,1344,0
Alberta,1,"(23,28]","University certificate, diploma or degree above",Not important at all,1,Never Married,Very satisfied,1419,0
Alberta,1,"(23,28]","University certificate, diploma or degree above",Not important at all,2,Living with a partner,Very satisfied,3085,0
Alberta,1,"(28,33]",Bachelor's degree,Not important at all,1,Never Married,Very satisfied,1306,0
Alberta,1,"(28,33]",Bachelor's degree,Not important at all,2,Married,Fairly satisfied,3823,0
Alberta,1,"(28,33]",Bachelor's degree,Not important at all,2,Married,Very satisfied,3017,2395
Alberta,1,"(28,33]",Bachelor's degree,Not important at all,3,Married,Fairly satisfied,3168,3751
Alberta,1,"(28,33]",Bachelor's degree,Not important at all,3,Married,Very satisfied,1635,2745
Alberta,1,"(28,33]",Bachelor's degree,Not important at all,4,Married,Very satisfied,2214,0
Alberta,1,"(28,33]",Bachelor's degree,Not very important,1,Never Married,Very satisfied,1609,1927
Alberta,1,"(28,33]",Bachelor's degree,Not very important,2,Never Married,Not very satisfied,1278,1093
Alberta,1,"(28,33]",Bachelor's degree,Somewhat important,1,Never Married,Very satisfied,2152,2122
Alberta,1,"(28,33]",Bachelor's degree,Somewhat important,2,Married,Very satisfied,5008,9382
Alberta,1,"(28,33]",High school diploma or certificate,Don't know/ Prefer not to answer,2,Living with a partner,Don 't know/ Prefer not to answer,1857,0
Alberta,1,"(28,33]",High school diploma or certificate,Not important at all,1,Never Married,Fairly satisfied,1497,1686
Alberta,1,"(28,33]",High school diploma or certificate,Not important at all,1,Never Married,Not at all satisfied,841,0
Alberta,1,"(28,33]",High school diploma or certificate,Not important at all,1,Never Married,Very satisfied,1040,0
Alberta,1,"(28,33]",High school diploma or certificate,Not important at all,2,Married,Very satisfied,2689,6265
Alberta,1,"(28,33]",High school diploma or certificate,Not important at all,3,Married,Fairly satisfied,1468,897
Alberta,1,"(28,33]",High school diploma or certificate,Not important at all,3,Never Married,Not at all satisfied,4459,7054
Alberta,1,"(28,33]",High school diploma or certificate,Not important at all,3,Never Married,Very satisfied,5921,0
Alberta,1,"(28,33]",High school diploma or certificate,Not important at all,4,Married,Very satisfied,4216,5066
Alberta,1,"(28,33]",High school diploma or certificate,Not important at all,6,Living with a partner,Very satisfied,3533,0
Alberta,1,"(28,33]",High school diploma or certificate,Not very important,3,Married,Fairly satisfied,2260,0
Alberta,1,"(28,33]",High school diploma or certificate,Somewhat important,2,Divorced,Very satisfied,1468,0
Alberta,1,"(28,33]",High school diploma or certificate,Somewhat important,3,Living with a partner,Very satisfied,4429,0
Alberta,1,"(28,33]",High school diploma or certificate,Somewhat important,3,Never Married,Fairly satisfied,4363,0
Alberta,1,"(28,33]",High school diploma or certificate,Somewhat important,4,Married,Fairly satisfied,3304,8047
Alberta,1,"(28,33]",High school diploma or certificate,Very important,1,Never Married,Not very satisfied,1329,1068
Alberta,1,"(28,33]",High school diploma or certificate,Very important,4,Married,Very satisfied,2232,9099
Alberta,1,"(28,33]",Less than high school diploma,Somewhat important,3,Married,Not very satisfied,1974,0
Alberta,1,"(28,33]",Less than high school diploma,Somewhat important,3,Never Married,Very satisfied,2323,0
Alberta,1,"(28,33]",Less than high school diploma,Somewhat important,6,Never Married,Not very satisfied,8917,14108
Alberta,1,"(28,33]",Less than high school diploma,Very important,4,Living with a partner,Very satisfied,2894,0
Alberta,1,"(28,33]",Not stated,Don't know/ Prefer not to answer,1,Never Married,Don 't know/ Prefer not to answer,756,739
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Don't know/ Prefer not to answer,2,Married,Very satisfied,3085,4154
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Not important at all,1,Never Married,Fairly satisfied,2499,0
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Not important at all,1,Never Married,Very satisfied,1264,1186
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Not important at all,2,Married,Very satisfied,4054,4578
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Not important at all,2,Never Married,Very satisfied,9786,5757
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Not important at all,3,Married,Very satisfied,4803,5850
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Not very important,1,Married,Fairly satisfied,1174,0
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Not very important,1,Never Married,Fairly satisfied,1693,4335
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Not very important,2,Married,Not very satisfied,2862,9520
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Not very important,2,Married,Very satisfied,4091,0
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Not very important,4,Married,Very satisfied,2194,2177
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Somewhat important,3,Living with a partner,Very satisfied,3005,4596
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Somewhat important,3,Never Married,Fairly satisfied,2868,10924
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Somewhat important,4,Married,Very satisfied,6625,6491
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Very important,1,Never Married,Very satisfied,1374,1224
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Very important,2,Living with a partner,Very satisfied,3017,4790
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Very important,4,Living with a partner,Very satisfied,5922,9163
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Very important,4,Married,Very satisfied,1324,0
Alberta,1,"(28,33]",University certificate or diploma below the bachelor's level,Very important,4,Never Married,Not very satisfied,6357,7241
Alberta,1,"(28,33]","University certificate, diploma or degree above",Not important at all,2,Living with a partner,Very satisfied,2377,0
Alberta,1,"(28,33]","University certificate, diploma or degree above",Not important at all,3,Never Married,Fairly satisfied,4245,0
Alberta,1,"(28,33]","University certificate, diploma or degree above",Not very important,3,Married,Very satisfied,2201,0
Alberta,1,"(28,33]","University certificate, diploma or degree above",Somewhat important,2,Living with a partner,Very satisfied,3823,14562
Alberta,1,"(28,33]","University certificate, diploma or degree above",Somewhat important,2,Married,Very satisfied,1793,0
Alberta,1,"(33,38]",Bachelor's degree,Not important at all,1,Never Married,Very satisfied,2463,1256
Alberta,1,"(33,38]",Bachelor's degree,Not important at all,1,Separated,Fairly satisfied,995,1116
Alberta,1,"(33,38]",Bachelor's degree,Not important at all,2,Living with a partner,Fairly satisfied,2633,9231
Alberta,1,"(33,38]",Bachelor's degree,Not important at all,2,Married,Very satisfied,941,897
Alberta,1,"(33,38]",Bachelor's degree,Not important at all,3,Married,Very satisfied,3115,4150
Alberta,1,"(33,38]",Bachelor's degree,Not important at all,4,Married,Very satisfied,2235,0
Alberta,1,"(33,38]",Bachelor's degree,Not very important,1,Never Married,Fairly satisfied,994,4092
Alberta,1,"(33,38]",Bachelor's degree,Not very important,1,Never Married,Very satisfied,942,1723
Alberta,1,"(33,38]",Bachelor's degree,Not very important,2,Living with a partner,Very satisfied,2239,0
Alberta,1,"(33,38]",Bachelor's degree,Not very important,3,Married,Very satisfied,673,580
Alberta,1,"(33,38]",Bachelor's degree,Not very important,4,Never Married,Fairly satisfied,2959,3215
Alberta,1,"(33,38]",Bachelor's degree,Somewhat important,3,Married,Very satisfied,3997,0
Alberta,1,"(33,38]",Bachelor's degree,Somewhat important,4,Married,Fairly satisfied,801,0
Alberta,1,"(33,38]",Bachelor's degree,Somewhat important,4,Married,Very satisfied,3314,3633
Alberta,1,"(33,38]",Bachelor's degree,Very important,2,Married,Very satisfied,3297,0
Alberta,1,"(33,38]",Bachelor's degree,Very important,4,Married,Very satisfied,5415,9818
Alberta,1,"(33,38]",High school diploma or certificate,Not important at all,1,Never Married,Fairly satisfied,918,0
Alberta,1,"(33,38]",High school diploma or certificate,Not important at all,1,Never Married,Not very satisfied,1064,0
Alberta,1,"(33,38]",High school diploma or certificate,Not important at all,4,Married,Very satisfied,4522,12129
Alberta,1,"(33,38]",High school diploma or certificate,Not very important,1,Married,Fairly satisfied,1013,2290
Alberta,1,"(33,38]",High school diploma or certificate,Not very important,3,Never Married,Very satisfied,4305,7242
Alberta,1,"(33,38]",High school diploma or certificate,Not very important,4,Married,Very satisfied,1820,2101
Alberta,1,"(33,38]",High school diploma or certificate,Somewhat important,1,Never Married,Fairly satisfied,953,0
Alberta,1,"(33,38]",High school diploma or certificate,Somewhat important,2,Never Married,Fairly satisfied,941,0
Alberta,1,"(33,38]",High school diploma or certificate,Somewhat important,3,Married,Very satisfied,2482,0
Alberta,1,"(33,38]",High school diploma or certificate,Somewhat important,3,Separated,Not very satisfied,1180,0
Alberta,1,"(33,38]",High school diploma or certificate,Somewhat important,4,Married,Very satisfied,968,1815
Alberta,1,"(33,38]",High school diploma or certificate,Very important,2,Married,Very satisfied,5666,13609
Alberta,1,"(33,38]",High school diploma or certificate,Very important,4,Married,Very satisfied,4764,0
Alberta,1,"(33,38]",High school diploma or certificate,Very important,5,Married,Don 't know/ Prefer not to answer,2397,4967
Alberta,1,"(33,38]",Less than high school diploma,Not important at all,4,Married,Fairly satisfied,1857,0
Alberta,1,"(33,38]",Not stated,Very important,3,Married,Fairly satisfied,2633,0
Alberta,1,"(33,38]",Not stated,Very important,4,Married,Very satisfied,2222,5602
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Don't know/ Prefer not to answer,4,Married,Don 't know/ Prefer not to answer,1768,1942
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Not important at all,1,Divorced,Fairly satisfied,1058,1797
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Not important at all,1,Divorced,Not very satisfied,1519,0
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Not important at all,1,Never Married,Very satisfied,1987,967
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Not important at all,2,Married,Fairly satisfied,1972,3764
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Not important at all,2,Married,Very satisfied,890,0
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Not important at all,3,Married,Very satisfied,2410,2003
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Not important at all,3,Widowed,Not at all satisfied,975,0
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Not important at all,4,Married,Very satisfied,9755,7694
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Not important at all,5,Married,Fairly satisfied,2014,1697
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Not important at all,6,Married,Very satisfied,611,920
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Not very important,3,Married,Very satisfied,1819,1870
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Not very important,4,Married,Not at all satisfied,2148,7341
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Not very important,4,Married,Very satisfied,1941,1977
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Not very important,5,Married,Not very satisfied,2386,3882
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Somewhat important,1,Never Married,Very satisfied,1064,0
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Somewhat important,2,Married,Fairly satisfied,2320,2223
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Somewhat important,3,Married,Very satisfied,2597,5889
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Somewhat important,4,Married,Very satisfied,7717,10493
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Somewhat important,5,Separated,Very satisfied,1267,0
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Very important,1,Married,Very satisfied,913,1573
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Very important,1,Never Married,Very satisfied,2610,1795
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Very important,3,Married,Fairly satisfied,1974,1767
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Very important,3,Married,Very satisfied,2589,1988
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Very important,4,Married,Fairly satisfied,1780,0
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Very important,5,Married,Fairly satisfied,1128,2186
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Very important,5,Married,Very satisfied,5655,0
Alberta,1,"(33,38]",University certificate or diploma below the bachelor's level,Very important,6,Married,Very satisfied,5926,0
Alberta,1,"(33,38]","University certificate, diploma or degree above",Not important at all,3,Married,Very satisfied,2186,2366
Alberta,1,"(33,38]","University certificate, diploma or degree above",Not important at all,4,Married,Fairly satisfied,2218,0
Alberta,1,"(33,38]","University certificate, diploma or degree above",Not very important,2,Married,Very satisfied,2239,4613
Alberta,1,"(33,38]","University certificate, diploma or degree above",Somewhat important,2,Married,Very satisfied,1423,0
Alberta,1,"(33,38]","University certificate, diploma or degree above",Somewhat important,3,Married,Very satisfied,4521,4944
Alberta,1,"(33,38]","University certificate, diploma or degree above",Somewhat important,4,Married,Fairly satisfied,1536,1785
Alberta,1,"(33,38]","University certificate, diploma or degree above",Somewhat important,4,Married,Very satisfied,7713,4460
Alberta,1,"(33,38]","University certificate, diploma or degree above",Very important,1,Married,Very satisfied,1018,2544
Alberta,1,"(33,38]","University certificate, diploma or degree above",Very important,2,Married,Fairly satisfied,2508,3963
Alberta,1,"(33,38]","University certificate, diploma or degree above",Very important,2,Married,Very satisfied,2419,0
Alberta,1,"(33,38]","University certificate, diploma or degree above",Very important,3,Married,Very satisfied,4011,1977
Alberta,1,"(38,43]",Bachelor's degree,Don't know/ Prefer not to answer,1,Divorced,Not very satisfied,1555,0
Alberta,1,"(38,43]",Bachelor's degree,Not important at all,1,Never Married,Don 't know/ Prefer not to answer,1118,0
Alberta,1,"(38,43]",Bachelor's degree,Not important at all,2,Married,Very satisfied,2206,2532
Alberta,1,"(38,43]",Bachelor's degree,Not important at all,4,Married,Very satisfied,1376,1601
Alberta,1,"(38,43]",Bachelor's degree,Not very important,1,Never Married,Not at all satisfied,1582,1480
Alberta,1,"(38,43]",Bachelor's degree,Not very important,4,Married,Fairly satisfied,1019,0
Alberta,1,"(38,43]",Bachelor's degree,Somewhat important,1,Never Married,Very satisfied,1325,0
Alberta,1,"(38,43]",Bachelor's degree,Somewhat important,2,Married,Very satisfied,4413,13172
Alberta,1,"(38,43]",Bachelor's degree,Somewhat important,3,Married,Fairly satisfied,4066,0
Alberta,1,"(38,43]",Bachelor's degree,Somewhat important,3,Separated,Very satisfied,829,1457
Alberta,1,"(38,43]",Bachelor's degree,Somewhat important,4,Married,Very satisfied,3912,4438
Alberta,1,"(38,43]",Bachelor's degree,Somewhat important,5,Married,Very satisfied,4623,11526
Alberta,1,"(38,43]",Bachelor's degree,Very important,2,Married,Very satisfied,5200,13284
Alberta,1,"(38,43]",Bachelor's degree,Very important,4,Married,Very satisfied,4416,2435
Alberta,1,"(38,43]",Bachelor's degree,Very important,5,Married,Very satisfied,1881,1857
Alberta,1,"(38,43]",Bachelor's degree,Very important,6,Married,Very satisfied,1974,0
Alberta,1,"(38,43]",High school diploma or certificate,Not important at all,2,Divorced,Fairly satisfied,1420,0
Alberta,1,"(38,43]",High school diploma or certificate,Not important at all,2,Never Married,Fairly satisfied,2271,2457
Alberta,1,"(38,43]",High school diploma or certificate,Not very important,1,Never Married,Fairly satisfied,1763,0
Alberta,1,"(38,43]",High school diploma or certificate,Not very important,2,Married,Very satisfied,3031,6332
Alberta,1,"(38,43]",High school diploma or certificate,Not very important,3,Living with a partner,Very satisfied,1220,0
Alberta,1,"(38,43]",High school diploma or certificate,Somewhat important,1,Never Married,Fairly satisfied,2485,4326
Alberta,1,"(38,43]",High school diploma or certificate,Somewhat important,2,Married,Very satisfied,2206,2532
Alberta,1,"(38,43]",High school diploma or certificate,Very important,6,Married,Very satisfied,4102,6123
Alberta,1,"(38,43]",Less than high school diploma,Somewhat important,1,Never Married,Very satisfied,2973,2779
Alberta,1,"(38,43]",Less than high school diploma,Very important,1,Divorced,Very satisfied,2535,4441
Alberta,1,"(38,43]",Less than high school diploma,Very important,1,Married,Don 't know/ Prefer not to answer,1338,3140
Alberta,1,"(38,43]",Less than high school diploma,Very important,1,Never Married,Very satisfied,2535,2221
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Not important at all,1,Never Married,Fairly satisfied,1038,1081
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Not important at all,2,Living with a partner,Fairly satisfied,1195,0
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Not important at all,2,Married,Fairly satisfied,1781,1718
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Not important at all,2,Married,Very satisfied,1510,2946
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Not important at all,4,Married,Fairly satisfied,1707,1957
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Not important at all,4,Married,Very satisfied,2135,2630
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Not very important,4,Married,Fairly satisfied,2698,3156
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Somewhat important,1,Divorced,Very satisfied,1255,3890
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Somewhat important,1,Never Married,Fairly satisfied,2317,5952
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Somewhat important,1,Never Married,Very satisfied,1324,1609
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Somewhat important,2,Divorced,Fairly satisfied,3001,0
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Somewhat important,2,Married,Very satisfied,4024,1870
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Somewhat important,4,Married,Fairly satisfied,2574,0
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Somewhat important,4,Married,Very satisfied,3174,0
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Very important,1,Never Married,Very satisfied,1972,4527
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Very important,4,Married,Fairly satisfied,3096,4462
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Very important,4,Married,Very satisfied,1260,1531
Alberta,1,"(38,43]",University certificate or diploma below the bachelor's level,Very important,6,Married,Very satisfied,3695,7437
Alberta,1,"(38,43]","University certificate, diploma or degree above",Not important at all,3,Married,Very satisfied,2241,2495
Alberta,1,"(38,43]","University certificate, diploma or degree above",Not important at all,4,Married,Very satisfied,1879,2224
Alberta,1,"(38,43]","University certificate, diploma or degree above",Not very important,4,Married,Very satisfied,2003,0
Alberta,1,"(38,43]","University certificate, diploma or degree above",Not very important,5,Married,Very satisfied,4890,11506
Alberta,1,"(38,43]","University certificate, diploma or degree above",Somewhat important,2,Married,Fairly satisfied,2322,0
Alberta,1,"(38,43]","University certificate, diploma or degree above",Somewhat important,4,Married,Very satisfied,4992,8097
Alberta,1,"(38,43]","University certificate, diploma or degree above",Very important,3,Married,Very satisfied,2206,2324
Alberta,1,"(38,43]","University certificate, diploma or degree above",Very important,4,Married,Very satisfied,3524,8473
